Name,Code,Row #,Country Code,Landmark Category,Location Label,Full Address,Map Centroid Longitude,Map Centroid Latitude,Map Accuracy Catagory,Map Coordinate System Category,Is Boundary Map On File?,Is Subdivision Parent Same as Enclosing Subdivision?,Subdivision Parent Code,Municipality ,Parent of Municipality,Parent Subdivision Category,Capacity,Capacity Metric Category,Year Opened,Ventilation Category,Landmark Notes ,Photo File ,Is Emergency Contact Recorded,
Avaya Stadium,,,USA,Stadium,"San Jose, California",,,,,,,,,San Jose,California,State,"18,000",Spectator Seats,2015,Open Air,Grass Playing Surface,Earthquakes Stadium under construction (cropped).jpg,,
BBVA Compass Stadium,,,USA,Stadium,"Houston, Texas",,,,,,,,,Houston,Texas,State,"22,039",Spectator Seats,2012,Open Air,Grass Playing Surface,"BBVA Compass Stadium, Skyline View.JPG",,
BC Place,,,USA,Stadium,"Vancouver, British Columbia",,,,,,,,,Vancouver,British Columbia,State,"54,320",Spectator Seats,1983,Retractable Roof,Polytan Playing Surface,BC Place 2011 Whitecaps.jpg,,
BMO Field,,,USA,Stadium,"Toronto, Ontario",,,,,,,,,Toronto,Ontario,State,"30,000",Spectator Seats,2007,Open Air,Grass Playing Surface,West-stand-bmo-field.jpg,,
CenturyLink Field,,,USA,Stadium,"Seattle, Washington",,,,,,,,,Seattle,Washington,State,"67,000",Spectator Seats,2002,Open Air,FieldTurf Playing Surface,Soundersfcqwestfield.jpg,,
Citrus Bowl,,,USA,Stadium,"Orlando, Florida",,,,,,,,,Orlando,Florida,State,"65,438",Spectator Seats,1936,Open Air,Turf Playing Surface,Citrus Bowl aerial view.jpg,,
Dick's Sporting Goods Park,,,USA,Stadium,"Commerce City, Colorado",,,,,,,,,Commerce City,Colorado,State,"18,086",Spectator Seats,2007,Open Air,Grass Playing Surface,Dick's Park.jpg,,
Gillette Stadium,,,USA,Stadium,"Foxborough, Massachusetts",,,,,,,,,Foxborough,Massachusetts,State,"68,756",Spectator Seats,2002,Open Air,FieldTurf Playing Surface,Gillette Stadium.jpg,,
Mapfre Stadium,,,USA,Stadium,"Columbus, Ohio",,,,,,,,,Columbus,Ohio,State,"20,145",Spectator Seats,1999,Open Air,Grass Playing Surface,Columbus crew stadium mls allstars 2005.jpg,,
PPL Park,,,USA,Stadium,"Chester, Pennsylvania",,,,,,,,,Chester,Pennsylvania,State,"18,500",Spectator Seats,2010,Open Air,Grass Playing Surface,PPL Park Interior from the River End 2010.10.02.jpg,,
Providence Park,,,USA,Stadium,"Portland, Oregon",,,,,,,,,Portland,Oregon,State,"20,438",Spectator Seats,1926,Open Air,FieldTurf Playing Surface,Jeldwenfield2011.png,,
